"title","date","articles","url"
"Pepe's no different: Where there’s a meme there’s a scam","May 9, 2023, 10:47AM EDT ","Pepe's no different: Where there’s a meme there’s a scam
by RT Watson
METAVERSE & NFT • MAY 9, 2023, 10:47AM EDT
The Block
    
QUICK TAKE
Suspicious link offers Pepe holders a chance to mint one of 10,000 NFTs but references another collection that already minted at a total supply of 6,969.
“This deceptive practice is a common tactic employed by scammers, luring unsuspecting buyers into fraudulent transactions,” said The Block Research Analyst Brad Kay.

Seemingly trying to take advantage of the frothy rollercoaster ride that has been Pepe, at least two Twitter accounts posted offers to mint free NFTs for anyone holding the memecoin.

Only the posted link advertises a supply of 10,000 available NFTs despite the obvious red flag of linking to a collection minted a few days ago and only had 6,969 total non-fungible tokens on offer.

""Navigating to the minting page of the tweet, you'll find a section titled 'Buy a Pepe NFT',"" which misleadingly redirects to an NFT collection named Lofi-Pepe, noted The Block Research Analyst Brad Kay. ""Funny enough, the official Lofi-Pepe collection, which launched on May 6th, caps at a (fitting) total supply of 6,969. This deceptive practice is a common tactic employed by scammers, luring unsuspecting buyers into fraudulent transactions.""



 

Example of misleading Pepe NFT tweet.

Crypto scams looking to latch onto the latest craze in digital assets, like this one with Pepe, have for years been such a common occurrence much of the market is numb to it. The two misleading Twitter posts have been reposted and liked tens of thousands of times — a process possibly driven by bots but one that nonetheless makes the pitch appear more genuine. 

Bots are such a problem, they almost stopped Elon Musk from going through with his purchase of Twitter last year. He has railed against the fake accounts, at one point saying he ""will defeat the spam bots or die trying.""  

Bitcoin mining report: Jan. 13

CATARINA MOURA
00:00 / 00:00

A call to connect their wallets

The suspicious link asks potential buyers to connect their wallets in order to mint one of the 10,000 Pepe NFTs. The link also references not only the official Lofi-Pepe collection but also the gaming platform Topia, which envisions itself as the ""next Minecraft."" It would appear linking to the two legitimate companies is an effort to make the link appear trustworthy.

Kay advises would-be purchasers of Pepe NFTs be increasingly vigilant. With the suspicious link, he said, “unwary investors may believe they're purchasing from the Lofi-Pepe collection, only to be defrauded of their tokens or inadvertently mint a different collection entirely.”


Both the Lofi-Pepe collection and Topia did not immediately respond for comment. A contact for the Twitter accounts promoting the seemingly fraudulent Pepe collection, @Miley18397515 and @StarkZ_ETHs, could not be found.

The official Lofi-Pepe collection has surpassed $2 million in trading volume since launching, according to CryptoSlam! data.




© 2023 The Block Crypto, Inc. All Rights Reserved. This article is provided for informational purposes only. It is not offered or intended to be used as legal, tax, investment, financial, or other advice.","https://www.theblock.co/post/229907/pepes-no-different-where-theres-a-meme-theres-a-scam"
"Pudgy Penguins secures $9 million months after CEO denied raising money, called notion ‘fake news’","May 9, 2023, 10:38AM EDT ","Pudgy Penguins secures $9 million months after CEO denied raising money, called notion ‘fake news’
by RT Watson
METAVERSE & NFT • MAY 9, 2023, 10:38AM EDT
The Block
    
QUICK TAKE
Pudgy Penguins CEO Luca Netz said a story from last November saying his collection was raising up to $10 million was “all wrong information.”
New capital to be used to help monetize brand’s IP including merchandising.

Roughly six months after Pudgy Penguins CEO denied the NFT collection was seeking to raise up to $10 million, it has announced securing $9 million in the completion of its seed round.

The round was led by 1kx, “an early-stage investment firm that specializes in ecosystem growth,” the collection said in a statement.  Big Brain Holdings, Kronos Research, the founders of LayerZero Labs, Old Fashion Research, and CRIT Ventures also participated, according to the statement.

Last November, Pudgy Penguins CEO Luca Netz said The Block’s story that his collection sought to raise up to $10 million was “all wrong information,” and warned he would publicly brand any story on the subject “fake news.”

Bitcoin mining report: Jan. 13

CATARINA MOURA
00:00 / 00:00

The collection launched in 2021 and Netz acquired it the next year. Last week, it said Hollywood talent agency WME will represent the collection as it pursues ""relationships in film, TV, and gaming.""

In its funding statement, Pudgy Penguins said it would use the fresh capital to help monetize its brand's intellectual property through, in part, merchandising.




© 2023 The Block Crypto, Inc. All Rights Reserved. This article is provided for informational purposes only. It is not offered or intended to be used as legal, tax, investment, financial, or other advice.","https://www.theblock.co/post/229943/pudgy-penguins-secures-9-million"
"Goldman Sachs, Moody's and more join Digital Asset's blockchain network","May 9, 2023, 9:48AM EDT ","Goldman Sachs, Moody's and more join Digital Asset's blockchain network
by Adam Morgan McCarthy
COMPANIES • MAY 9, 2023, 9:48AM EDT
The Block
    
QUICK TAKE
Digital Asset, a blockchain technology company building institutional products, is launching a global blockchain network. 
Goldman Sachs, Moody’s, DRW, and Microsoft are among a plethora of firms joining the project. 
The network, which will be privacy-enabled, is set to launch in July. 

Digital Asset, the financial technology firm co-founded by DRW's Don Wilson, is launching a privacy-enabled blockchain — and some of the biggest names in finance and tech are on board. 

Goldman Sachs, Moody's, DRW, and Microsoft are among the firms joining the blockchain, dubbed Canton Network. It will be a privacy-enabled interoperable blockchain explicitly designed for institutional assets, according to the release.

The other firms involved include BNP Paribas, Broadridge, Cboe Global Markets, Cumberland, Deloitte, Deutsche Börse Group, DRW, Liberty City Ventures, Paxos, Right Pedal LendOS, S&P Global, SBI Digital Asset Holdings, Umbrage, Versana, VERT Capital, Xpansiv, and Zinnia.

Canton Network is an example of Capgemini and Digital Asset's other partners ""harnessing the power of blockchain to build a financial ecosystem that everyone can depend on,"" Sankar Krishnan, head of digital assets and fintech at Capgemini, said in the release. 

Bitcoin mining report: Jan. 13

CATARINA MOURA
00:00 / 00:00

The blockchain aims to provide ""seamless connectivity across various blockchain networks in the industry,"" which is an essential ""building block for future digital and distributed financial market infrastructures,"" according to Deutsche Börse Group's Jens Hachmesiter, head of issuer services & new digital markets at the exchange.

According to the release, the participating firms will begin testing the blockchain's interoperability capabilities across various applications and use cases in July.




© 2023 The Block Crypto, Inc. All Rights Reserved. This article is provided for informational purposes only. It is not offered or intended to be used as legal, tax, investment, financial, or other advice.","https://www.theblock.co/post/229922/goldman-sachs-moodys-digital-assets-blockchain-network-canton"
"Crypto Accounting: What you need to know","May 9, 2023, 9:00AM EDT ","Crypto Accounting: What you need to know
by Sponsored
SPONSORED • MAY 9, 2023, 9:00AM EDT
The Block
    

As the digital asset ecosystem grows and regulatory scrutiny increases, the importance of proper tracking & visibility – crypto accounting – does too. 

Few people get excited when they hear the word accounting, especially in the move-fast-and-break-things environment of innovative digital asset projects. However, proper digital asset accounting is wholly necessary to launching, managing, and building successful products and enterprises in digital assets and tokenization. Accounting is the unglamorous infrastructure needed to keep the shiny glowing surface that is Web3 alive. 

And think about it – when you build a house, you don’t skimp on the plumbing. If you do, you may eventually have to tear up the house to fix it, or even worse, faulty plumbing can cause the house to crumble or flood. It’s this analogy that correlates perfectly with digital asset accounting operations. When it comes to laying the pipes of digital asset accounting, you want to use the strongest, highest security, and most accurate. That’s what we’ve built at Ledgible.

As a SOC 1 & 2 Type 2 audited platform that works with leading enterprises and institutions like FIS, Thomson Reuters, Intuit, and large banks, Ledgible is the premium and trusted tool of choice for integrating proper digital asset accounting. So, let’s take a look at this process a little further, breaking down the basics of what you need to know.

At its core, Crypto accounting is the process of recording and tracking digital asset transactions for financial reporting and tax purposes. It is important for individuals, businesses, and organizations that own, trade, or mine cryptocurrencies to keep accurate records of their crypto-related activities.

Here are some of the must knows in the process of laying the framework for proper accounting in digital assets:

Identify your crypto assets: Determing which cryptocurrencies one owns, needs to manage, and what crypto verticals you work in is essential. To properly account for digital assets, one needs to keep track of the acquisition date, cost basis, and any fees associated with purchasing or trading the crypto assets, among a wealth of other accounting footnotes. This tracking, the part where non-accountants eyes may glaze over, is what Ledgible does automatically. Direct integration through APIs, automated basis and gain calculation, transaction tracing, you name it and Ledgible takes care of it.
Understand tax & accounting implications: Digital assets have varying regulations and treatments depending upon which geographical location one operates in. This non-standard treatment necessitates enterprises and investors have a firm grasp of their accounting. Navigating complex regulatory hurdles is made easier when one fully grasps the data they have at their fingertips. 
Keep detailed records: Record all crypto transactions, including purchases, sales, transfers, and mining activities. Make sure to keep detailed records of the date, amount, and value of each transaction. One could do this manually in a spreadsheet, or you could use the leading crypto accounting subledger, Ledgible, to take care of this tracking and data warehousing automatically.
Make things Ledgible: At Ledgible, we like to say we make crypto ledgible. In essence, our tools aggregate, normalize, and make Ledgible digital asset data for tax and accounting purposes. Serving as the translation step between digital assets and traditional financial processes. We run our own data layer to ensure data accuracy, built our own tax and accounting algorithms in-house with testing by leading accounting firms, and offer an ever-growing list of integrations with platforms. 

So, back to the original analogy. Most homeowners don’t love plumbing, they don’t spend their days obsessed with backwater valves and piping. They, instead, trust certified industry professionals to handle the dirty work. At Ledgible, we love digital asset tax and accounting – you can trust us to handle the mess.

This post is commissioned by Ledgible and does not serve as a testimonial or endorsement by The Block. This post is for informational purposes only and should not be relied upon as a basis for investment, tax, legal or other advice. You should conduct your own research and consult independent counsel and advisors on the matters discussed within this post. Past performance of any asset is not indicative of future results.




© 2023 The Block Crypto, Inc. All Rights Reserved. This article is provided for informational purposes only. It is not offered or intended to be used as legal, tax, investment, financial, or other advice.","https://www.theblock.co/post/229909/crypto-accounting-what-you-need-to-know"
"Goldman Sachs finds crypto interest has waned among the ultra-rich","May 9, 2023, 5:58AM EDT ","Goldman Sachs finds crypto interest has waned among the ultra-rich
by Yogita Khatri
COMPANIES • MAY 9, 2023, 5:58AM EDT
the block
    
QUICK TAKE
Goldman Sachs has found that 62% of surveyed family offices are not invested in and are not interested in investing in crypto, compared to 39% in 2021.
Still, more family offices are currently invested in crypto (26%) compared to 16% in 2021, per the latest survey.

Goldman Sachs' latest survey of institutional family office investors has found that interest in crypto has significantly faded among the wealthy elite, due to the extreme crypto market volatility of the past year.

The part of family offices that are not invested in crypto and are not interested in investing in it for the future has risen to 62% from 39% in 2021 when the investment banking giant first conducted its survey. The portion of those potentially interested in crypto investing for the future has also fallen to 12% from 45%, per the latest survey.

The results indicate a notable shift in sentiment after recent high-profile crypto collapses, including FTX, BlockFi and Celsius. Still, more family offices are currently invested in cryptocurrencies than in 2021 — 26% today, up from 16% — with the most-citing rationale being their ""belief in the power of blockchain technology.""

The survey captured responses from 166 family offices around the world, with a net worth of at least $500 million (93%) and 72% having at least $1 billion. The survey was conducted in January and February of this year.

 

Goldman Sachs uncovers fading crypto craze

During its last survey, in 2021, Goldman Sachs found that nearly half the family offices it did business with were interested in adding crypto to their investment portfolios because of ""higher inflation, prolonged low rates, and other macroeconomic developments following a year of unprecedented global monetary and fiscal stimulus.""

Bitcoin mining report: Jan. 13

CATARINA MOURA
00:00 / 00:00

Now they are interested in increasing allocations to public and private equities and adding fixed-income exposure to capture higher rate opportunities.

 
""With the flexibility to invest across the risk spectrum, family offices have maintained a largely consistent approach to more aggressive allocations as they seek superior returns,"" Meena Flynn, co-head of global private wealth management and co-lead of One Goldman Sachs Family Office Initiative, said in a statement. ""Planned risk-on allocations tell us they see strong opportunities to capture added alpha. This patient, strategic, long-term orientation is often an advantage in managing and preserving generational wealth.""

While institutional interest in crypto might be waning, Goldman Sachs recently said it is open to adding more staff to its 70-person digital assets team while flagging the potential for blockchain technology to improve the functioning of markets such as private equity. Earlier today, Goldman Sachs participated in crypto infrastructure company Digital Asset's privacy-enabled interoperable blockchain network, called the Canton Network, to provide a decentralized infrastructure for institutional clients.




© 2023 The Block Crypto, Inc. All Rights Reserved. This article is provided for informational purposes only. It is not offered or intended to be used as legal, tax, investment, financial, or other advice.","https://www.theblock.co/post/229887/goldman-sachs-crypto-survey"
"Binance adds Bitcoin Ordinals to its NFT marketplace","May 9, 2023, 5:00AM EDT ","Binance adds Bitcoin Ordinals to its NFT marketplace
by RT Watson
COMPANIES • MAY 9, 2023, 5:00AM EDT
The Block
    
QUICK TAKE
Binance customers can trade Bitcoin Ordinals by late May without the need of an external wallet, the company said.

Binance, the world’s largest crypto trading platform, wants in on the burgeoning Bitcoin Ordinals market.

The company announced that its non-fungible token (NFT) marketplace will, from late May, “support” Ordinals in order to further grow Binance’s “multi-chain ecosystem.” Binance customers will be able to buy and sell Ordinals without needing to utilize a “separate Bitcoin wallet,” the company said in a statement.


“Bitcoin is the OG of crypto,” said Binance’s Head of Product Mayur Kamat. “We are super excited to bring Bitcoin Ordinals to Binance NFT.”

Over five million Ordinals have been minted on Bitcoin since December 2022, which has generated a total of 996.23 BTC ( or $27.6 million) in fees, according to The Block Research.




Updates with number of Ordinals minted.




© 2023 The Block Crypto, Inc. All Rights Reserved. This article is provided for informational purposes only. It is not offered or intended to be used as legal, tax, investment, financial, or other advice.","https://www.theblock.co/post/229833/binance-bitcoin-ordinals-brc-20-tokens-value"
"Bankman-Fried blames ‘crypto winter’ for FTX failure in seeking dismissal of most charges","May 9, 2023, 4:41AM EDT ","Bankman-Fried blames ‘crypto winter’ for FTX failure in seeking dismissal of most charges
by Colin Wilhelm
COMPANIES • MAY 9, 2023, 4:41AM EDT
The Block | Sipa USA/Alamy Live News
    
QUICK TAKE
Sam Bankman-Fried has filed motions to dismiss many of the criminal charges filed against him in the collapse of FTX.
Bankman-Fried seeks to paint FTX’s practices as standard in the crypto industry, and lays blame with the U.S. government over its regulatory wrangling around digital assets over the last several years.

Sam Bankman-Fried’s lawyers have come out swinging against federal prosecutors, seeking to preemptively dismiss most of the criminal charges made against the disgraced FTX co-founder and former CEO before a trial can take place.

A late filing on Monday by the fallen crypto mogul’s legal team seeks to toss fraud-related charges that they argue are duplicative, and also a campaign finance-related charge, on the grounds that the charge violates terms under which the Bahamian government extradited Bankman-Fried to the U.S. to face prosecution.

Bankman-Fried’s lawyers filed seven motions to dismiss charges brought against him, arguing that most could not be prosecuted by the government. The argument made by the former FTX and Alameda Research CEO’s defense team also seeks to paint the trading platform’s practices as standard in the crypto industry, and lay blame with the U.S. government over its regulatory wrangling around digital assets over the last several years.

Blame crypto and the government, not FTX, SBF lawyers say

Calling the U.S. government’s pursuit of Bankman-Fried “a classic rush to judgment,” the FTX and Alameda owner’s defense team argues that shortcomings leading to FTX’s demise are common throughout the crypto industry. They also contend the company’s failure stems from a broader crypto winter, rather than reported failure to back FTX’s native token FTT, or secret loans from FTX to Alameda alleged by both prosecutors and the bankruptcy team put in place to manage the repayment of FTX customers and creditors.

“Like many other cryptocurrency market participants, and many other start-ups that experience exponential growth in a short period, FTX did not have fully developed controls and risk management protocols,” Bankman-Fried’s lawyers told the judge presiding over the case. “FTX, like other market participants, was susceptible to a broader market collapse.”

Bankman-Fried’s team also argues that “every major participant” in the crypto industry “cratered,” and draws parallels between the collapse of different digital asset firms and the 2008 global financial crisis, the catalyst for the popularity of bitcoin and growth of digital assets.

Double jeopardy question

In the motions filed with the federal Southern District of New York, Bankman-Fried’s defense team argues that a conviction in either of two pairs of charges would be a convocation for the same crime, since the charges stem from similar portions of the law. Defendants cannot be convicted twice for the same crime in the U.S., termed a right against ""double jeopardy.""

The early defense effort argues that going to trial with multiple criminal charges that, in their eyes, could be canceled out by others he faces may lead to “undue prejudice” in his trial. It may also be an early effort by the defense to undermine the credibility of prosecutors in the eyes of a court or a future jury.

The pairs of charges in question are a charge of conspiracy to commit bank fraud and another of conspiracy to commit wire fraud on FTX customers; and a charge of conspiracy to operate an unlicensed money transmitting business and another for conspiracy to commit commodities fraud on FTX customers. Bankman-Fried argues these pairs of charges are redundant, and that one of the charges from each pair should be withdrawn.

In separate but related motions to dismiss, the defense team also makes a series of more obscure legal arguments against other charges, including that the Bahamian government did not give its consent for some of the allegations brought against Bankman-Fried when it agreed to extradite him.




Disclaimer: The former CEO and majority shareholder of The Block has disclosed a series of loans from former FTX and Alameda founder Sam Bankman-Fried.

© 2023 The Block Crypto, Inc. All Rights Reserved. This article is provided for informational purposes only. It is not offered or intended to be used as legal, tax, investment, financial, or other advice.","https://www.theblock.co/post/229881/bankman-fried-crypto-winter-ftx-failure-dismiss-charges"
"Bittrex files for bankruptcy protection less than a month after SEC charges","May 8, 2023, 5:23PM EDT ","Bittrex files for bankruptcy protection less than a month after SEC charges
by Stephanie Murray
EXCHANGES • MAY 8, 2023, 5:23PM EDT
Shutterstock/Piotr Swat
    
QUICK TAKE
Crypto exchange Bittrex Inc. filed for bankruptcy protection on Monday, less than a month after the SEC charged it with operating an unregistered exchange.
The company has an estimated $500 million to $1 billion in assets and liabilities, according to a court filing.

Bittrex Inc. filed for Chapter 11 bankruptcy protection in Delaware on Monday, less than a month after the Securities and Exchange Commissions charged it with running an unregistered exchange. 

The company said it had assets and liabilities each estimated to be worth between $500 million and $1 billion, and more than 100,000 creditors in a court filing. Two other entities, Bittrex Malta Ltd. and Bittrex Malta Holdings Ltd., also filed for bankruptcy protection in the U.S. Bankruptcy Court for the District of Delaware. 

The bankruptcy filing comes less than a month after Bittrex was sued by the Securities and Exchange Commission for allegedly operating an unregistered exchange, broker, and clearing agency. Bittrex had previously said it would leave the U.S., blaming the country’s regulatory environment. 

Bittrex was once one of the largest exchanges in the U.S., with a market share of USD support of nearly 23% at the start of 2018, data from The Block show. It collapsed to below 1% in 2021 and hasn't recovered since.

Bitcoin mining report: Jan. 13

CATARINA MOURA
00:00 / 00:00

The bankruptcy filing will not impact Bittrex Global, according to a Bittrex Inc. spokesperson.

“Having previously announced that Bittrex, Inc. would be ceasing all operations in the U.S. effective April 30th, we have now made the decision to file Chapter 11 bankruptcy in federal court in Delaware,"" the spokesperson said. ""This announcement does not impact Bittrex Global, which will continue operations as normal for its customers outside the U.S. For those customers who did not withdraw their funds from the platform prior to the end of April, your funds remain safe and secure, and our main priority is to ensure that our customers are made whole.”

Updates with comment from company in fifth paragraph.




© 2023 The Block Crypto, Inc. All Rights Reserved. This article is provided for informational purposes only. It is not offered or intended to be used as legal, tax, investment, financial, or other advice.","https://www.theblock.co/post/229861/bittrex-files-for-bankruptcy-protection-less-than-a-month-after-sec-charges"
"Paxful says it's back up and running, led by a Delaware lawyer","May 8, 2023, 3:00PM EDT ","Paxful says it's back up and running, led by a Delaware lawyer
by Christiana Loureiro
COMPANIES • MAY 8, 2023, 3:00PM EDT
The Block
    
QUICK TAKE
The P2P platform is back up and running, according to co-founder Artur Shaback.

P2P platform Paxful is up and running and being run by a Delaware lawyer, co-founder Artur Shaback said. 

Paxful posted a note online saying, ""After a month away, we’re happy to announce that the Paxful marketplace is back online.""

The platform shuttered in April as the company imploded and Shaback sued co-founder Ray Youssef, who later stepped down from being the chief executive officer. Shaback told The Block he may seek a settlement with Youssef, who has accused his former partner of being greedy.

Youssef didn't immediately respond to a request for comment.

Bitcoin mining report: Jan. 13

CATARINA MOURA
00:00 / 00:00

Youssef had recently told The Block that because of U.S. legal uncertainty, Paxful had decided in November to dissolve the company. It was one of several companies impacted by a regulatory climate in the U.S. that has enforcement actions against exchanges and lawsuits from oversight agencies. 

""Throughout the suspension the Paxful Wallet remained fully operational for our users and the community were also offered a selection of peer-to-peer platforms to continue trading on,"" the note said. ""Over the last month, our team has worked diligently to get the marketplace back online with the safety and security of users paramount.""




© 2023 The Block Crypto, Inc. All Rights Reserved. This article is provided for informational purposes only. It is not offered or intended to be used as legal, tax, investment, financial, or other advice.","https://www.theblock.co/post/229829/paxful-returns"
"MakerDAO boosts DAI lending capabilities via Spark Protocol roll-out","May 8, 2023, 1:21PM EDT ","MakerDAO boosts DAI lending capabilities via Spark Protocol roll-out
by Vishal Chawla
CRYPTO ECOSYSTEMS • MAY 8, 2023, 1:21PM EDT
Piotr Swat/ shutterstock.com
    
QUICK TAKE
MakerDAO has introduced Spark, a DeFi lending protocol centered around the DAI stablecoin.
At first, users can borrow DAI using crypto assets as collateral at a 1.1% annual rate.

MakerDAO, the decentralized entity responsible for the DAI stablecoin, has unveiled Spark, a DeFi lending platform aimed at improving decentralized borrowing solutions for its stablecoin.

DAI is the fourth largest stablecoin with a market capitalization of $4.7 billion, trailing only USDT, USDC and BUSD.

Spark is a software fork of the leading lending protocol, Aave's Version 3, that integrates direct lending capabilities within MakerDAO. Through Spark, users can obtain DAI loans using assets such as ether (ETH), staked ether (stETH), and DAI. Spark functions independently from MakerDAO's primary mechanism, which solely permits users to generate new DAI as overcollateralized debt.

""Spark Protocol's first version, Spark Lend, is a lending marketplace specifically designed for supplying and borrowing crypto with a focus on DAI,"" MakerDAO stated. Starting Tuesday, the Spark Protocol will be accessible to all decentralized finance (DeFi) users, MakerDAO added.

Bitcoin mining report: Jan. 13

CATARINA MOURA
00:00 / 00:00

Borrowers can initially take DAI loans at 1.11% annual rate through Spark. The lending platform incorporates a tailored interest rate model, wherein borrowing rates are established by governance members through on-chain voting, instead of fluctuating according to supply and demand as found in Aave or other lending protocols.

Spark will integrate with MakerDAO's Peg Stability Module, enabling instant conversion of DAI to USDC at a 1:1 ratio for users seeking stablecoin swaps. The creation of Spark was led by Phoenix Labs, a contributing firm to MakerDAO.




© 2023 The Block Crypto, Inc. All Rights Reserved. This article is provided for informational purposes only. It is not offered or intended to be used as legal, tax, investment, financial, or other advice.","https://www.theblock.co/post/229805/makerdao-boosts-dai-lending-capabilities-via-spark-protocol-roll-out"
